image_id,article_slug,category,pin_variant,pin_type,pin_id,source_signature,article_title,required_visual_element,exact_prompt,priority
manual-b05-001-front-yard-lighting-and-planting-ideas-for-evening-curb-appeal-c,front-yard-lighting-and-planting-ideas-for-evening-curb-appeal,Curb Appeal Landscaping Ideas,C,C,front-yard-lighting-and-planting-ideas-for-evening-curb-appeal-c,manual-batch-05:front-yard-lighting-and-planting-ideas-for-evening-curb-appeal-c,Front Yard Lighting and Planting Ideas for Evening Curb Appeal,a clearly visible front walkway or entry path,"Create one realistic professional photography image for the exact article title: ""Front Yard Lighting and Planting Ideas for Evening Curb Appeal"". Article slug: front-yard-lighting-and-planting-ideas-for-evening-curb-appeal. Category: Curb Appeal Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front walkway or entry path. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, natural morning side light, real plant scale, crisp mulch texture, clean editorial depth. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-lighting-and-planting-ideas-for-evening-curb-appeal-c only, with source_signature manual-batch-05:front-yard-lighting-and-planting-ideas-for-evening-curb-appeal-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",1
manual-b05-002-front-yard-limestone-landscaping-ideas-c,front-yard-limestone-landscaping-ideas,Front Yard Landscaping With Rocks,C,C,front-yard-limestone-landscaping-ideas-c,manual-batch-05:front-yard-limestone-landscaping-ideas-c,Front Yard Limestone Landscaping Ideas,"clearly visible rock, boulder, stone, or gravel landscaping in the front yard","Create one realistic professional photography image for the exact article title: ""Front Yard Limestone Landscaping Ideas"". Article slug: front-yard-limestone-landscaping-ideas. Category: Front Yard Landscaping With Rocks. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: clearly visible rock, boulder, stone, or gravel landscaping in the front yard. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, soft bright overcast daylight, realistic stone and soil texture, practical curb appeal. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-limestone-landscaping-ideas-c only, with source_signature manual-batch-05:front-yard-limestone-landscaping-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",2
manual-b05-003-front-yard-luxury-curb-appeal-ideas-c,front-yard-luxury-curb-appeal-ideas,Curb Appeal Landscaping Ideas,C,C,front-yard-luxury-curb-appeal-ideas-c,manual-batch-05:front-yard-luxury-curb-appeal-ideas-c,Luxury Front Yard Curb Appeal Ideas,a clearly visible front yard landscape and USA home exterior matching the article title,"Create one realistic professional photography image for the exact article title: ""Luxury Front Yard Curb Appeal Ideas"". Article slug: front-yard-luxury-curb-appeal-ideas. Category: Curb Appeal Landscaping Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front yard landscape and USA home exterior matching the article title. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, street-level DSLR framing, layered shrubs, clean walkway movement, believable suburban setting. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-luxury-curb-appeal-ideas-c only, with source_signature manual-batch-05:front-yard-luxury-curb-appeal-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",3
manual-b05-004-front-yard-mailbox-landscaping-ideas-c,front-yard-mailbox-landscaping-ideas,Front Yard Flower Bed Ideas,C,C,front-yard-mailbox-landscaping-ideas-c,manual-batch-05:front-yard-mailbox-landscaping-ideas-c,Front Yard Mailbox Landscaping Ideas That Look Polished,mailbox bed visible,"Create one realistic professional photography image for the exact article title: ""Front Yard Mailbox Landscaping Ideas That Look Polished"". Article slug: front-yard-mailbox-landscaping-ideas. Category: Front Yard Flower Bed Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: mailbox bed visible. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, front-corner composition, strong foreground landscaping, visible facade context, natural color. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-mailbox-landscaping-ideas-c only, with source_signature manual-batch-05:front-yard-mailbox-landscaping-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",4
manual-b05-005-front-yard-minimalist-landscaping-ideas-c,front-yard-minimalist-landscaping-ideas,Modern Front Yard Landscaping,C,C,front-yard-minimalist-landscaping-ideas-c,manual-batch-05:front-yard-minimalist-landscaping-ideas-c,Minimalist Front Yard Landscaping Ideas,a clearly visible front yard landscape and USA home exterior matching the article title,"Create one realistic professional photography image for the exact article title: ""Minimalist Front Yard Landscaping Ideas"". Article slug: front-yard-minimalist-landscaping-ideas. Category: Modern Front Yard Landscaping. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front yard landscape and USA home exterior matching the article title. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, low garden-bed perspective, tactile mulch and planting detail, polished but realistic yard. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-minimalist-landscaping-ideas-c only, with source_signature manual-batch-05:front-yard-minimalist-landscaping-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",5
manual-b05-006-front-yard-mulch-and-edging-ideas-for-clean-landscaping-c,front-yard-mulch-and-edging-ideas-for-clean-landscaping,Front Yard Landscaping On A Budget,C,C,front-yard-mulch-and-edging-ideas-for-clean-landscaping-c,manual-batch-05:front-yard-mulch-and-edging-ideas-for-clean-landscaping-c,Front Yard Mulch and Edging Ideas for Clean Landscaping,a clearly visible front yard landscape and USA home exterior matching the article title,"Create one realistic professional photography image for the exact article title: ""Front Yard Mulch and Edging Ideas for Clean Landscaping"". Article slug: front-yard-mulch-and-edging-ideas-for-clean-landscaping. Category: Front Yard Landscaping On A Budget. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible front yard landscape and USA home exterior matching the article title. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, balanced architectural-garden framing, landscaping stronger than the house, clear negative space. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-mulch-and-edging-ideas-for-clean-landscaping-c only, with source_signature manual-batch-05:front-yard-mulch-and-edging-ideas-for-clean-landscaping-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",6
manual-b05-007-front-yard-native-flower-bed-ideas-c,front-yard-native-flower-bed-ideas,Front Yard Flower Bed Ideas,C,C,front-yard-native-flower-bed-ideas-c,manual-batch-05:front-yard-native-flower-bed-ideas-c,Front Yard Native Flower Bed Ideas,clearly visible front yard flower beds with real flowers,"Create one realistic professional photography image for the exact article title: ""Front Yard Native Flower Bed Ideas"". Article slug: front-yard-native-flower-bed-ideas. Category: Front Yard Flower Bed Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: clearly visible front yard flower beds with real flowers. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, natural morning side light, real plant scale, crisp mulch texture, clean editorial depth. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-native-flower-bed-ideas-c only, with source_signature manual-batch-05:front-yard-native-flower-bed-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",7
manual-b05-008-front-yard-pea-gravel-landscaping-ideas-c,front-yard-pea-gravel-landscaping-ideas,Front Yard Landscaping With Rocks,C,C,front-yard-pea-gravel-landscaping-ideas-c,manual-batch-05:front-yard-pea-gravel-landscaping-ideas-c,Front Yard Pea Gravel Landscaping Ideas,a clearly visible gravel path through the front yard,"Create one realistic professional photography image for the exact article title: ""Front Yard Pea Gravel Landscaping Ideas"". Article slug: front-yard-pea-gravel-landscaping-ideas. Category: Front Yard Landscaping With Rocks. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: a clearly visible gravel path through the front yard. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, soft bright overcast daylight, realistic stone and soil texture, practical curb appeal. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-pea-gravel-landscaping-ideas-c only, with source_signature manual-batch-05:front-yard-pea-gravel-landscaping-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",8
manual-b05-009-front-yard-peony-bed-ideas-c,front-yard-peony-bed-ideas,Front Yard Flower Bed Ideas,C,C,front-yard-peony-bed-ideas-c,manual-batch-05:front-yard-peony-bed-ideas-c,Front Yard Peony Bed Ideas,clearly visible front yard flower beds with real flowers,"Create one realistic professional photography image for the exact article title: ""Front Yard Peony Bed Ideas"". Article slug: front-yard-peony-bed-ideas. Category: Front Yard Flower Bed Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: clearly visible front yard flower beds with real flowers. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, street-level DSLR framing, layered shrubs, clean walkway movement, believable suburban setting. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-peony-bed-ideas-c only, with source_signature manual-batch-05:front-yard-peony-bed-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",9
manual-b05-010-front-yard-perennial-flower-bed-ideas-c,front-yard-perennial-flower-bed-ideas,Front Yard Flower Bed Ideas,C,C,front-yard-perennial-flower-bed-ideas-c,manual-batch-05:front-yard-perennial-flower-bed-ideas-c,Front Yard Perennial Flower Bed Ideas,clearly visible front yard flower beds with real flowers,"Create one realistic professional photography image for the exact article title: ""Front Yard Perennial Flower Bed Ideas"". Article slug: front-yard-perennial-flower-bed-ideas. Category: Front Yard Flower Bed Ideas. Pin type C. Pin variant C: three-quarter entry-angle view from the walkway or driveway edge, with depth through the USA suburban front yard and a fresh composition distinct from hero and detail views. Required visual element: clearly visible front yard flower beds with real flowers. The image must match the article_title, article_slug, category, pin_variant, and required_visual_element exactly enough that the topic is immediately clear. Scene must be a USA suburban front yard with a visible house exterior. Landscaping is the main subject, and the front yard occupies at least 40% of the visible scene. The image must show lawn OR flower beds OR shrubs OR mulch OR rocks OR walkway, with landscaping visually stronger than architecture. Use realistic professional photography, natural daylight, believable USA suburban scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Pinterest vertical 1000x1500, 2:3 vertical composition, crisp DSLR architectural-garden photography, front-corner composition, strong foreground landscaping, visible facade context, natural color. Keep clean negative space for later overlay, but do not add overlay content. Source uniqueness: create a unique source image for front-yard-perennial-flower-bed-ideas-c only, with source_signature manual-batch-05:front-yard-perennial-flower-bed-ideas-c; do not reuse an existing source image or a source image assigned to any other Pin. Negative requirements: no people, no vehicles, no interiors, no watermark, no text, no logo, no signage, no fantasy style, no CGI, no illustration, no Unsplash+ or premium stock source.",10
