pin_id,article_slug,pin_variant,image_generated,image_reviewed,text_overlay_added,text_legible_mobile,topic_match_checked,no_ai_artifacts,image_uploaded_to_public_pins,ready_for_api
brick-front-walkway-landscaping-ideas-a,brick-front-walkway-landscaping-ideas,A,yes,yes,yes,yes,yes,yes,yes,yes
brick-front-walkway-landscaping-ideas-b,brick-front-walkway-landscaping-ideas,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-curb-appeal-for-renters-a,budget-front-yard-curb-appeal-for-renters,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-curb-appeal-for-renters-b,budget-front-yard-curb-appeal-for-renters,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-curb-appeal-for-renters-c,budget-front-yard-curb-appeal-for-renters,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-flower-bed-makeover-a,budget-front-yard-flower-bed-makeover,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-flower-bed-makeover-b,budget-front-yard-flower-bed-makeover,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-flower-bed-makeover-c,budget-front-yard-flower-bed-makeover,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-cheap-border-plants-a,budget-front-yard-ideas-with-cheap-border-plants,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-cheap-border-plants-b,budget-front-yard-ideas-with-cheap-border-plants,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-cheap-border-plants-c,budget-front-yard-ideas-with-cheap-border-plants,C,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-divided-perennials-a,budget-front-yard-ideas-with-divided-perennials,A,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-divided-perennials-b,budget-front-yard-ideas-with-divided-perennials,B,yes,yes,yes,yes,yes,yes,yes,yes
budget-front-yard-ideas-with-divided-perennials-c,budget-front-yard-ideas-with-divided-perennials,C,yes,yes,yes,yes,yes,yes,yes,yes
