pin_id,article_slug,article_title,quality_status,ok,reasons,quality_rule_key,quality_rule_label,quality_score,source_signature,quality_source_key,quality_source_type,quality_source_url,image_file,image_url,width,height
brick-front-walkway-landscaping-ideas-a,brick-front-walkway-landscaping-ideas,Brick Front Walkway Landscaping Ideas,approved,no,missing_visible_house_exterior,brick-walkway,Brick walkway visible,82,unsplash:photo-1666040625810-10a88a71892b,photo 1666040625810 10a88a71892b,unsplash-search,https://images.unsplash.com/photo-1666040625810-10a88a71892b,brick-front-walkway-landscaping-ideas-pin-a-zvf2b.jpg,https://frontyardaura.com/pins/brick-front-walkway-landscaping-ideas-pin-a-zvf2b.jpg,1000,1500
brick-front-walkway-landscaping-ideas-b,brick-front-walkway-landscaping-ideas,Brick Front Walkway Landscaping Ideas,approved,yes,,brick-walkway,Brick walkway visible,83,unsplash:photo-1724238471498-8bf096e57dd7,photo 1724238471498 8bf096e57dd7,unsplash-expanded-search,https://images.unsplash.com/photo-1724238471498-8bf096e57dd7,brick-front-walkway-landscaping-ideas-pin-b-zlfgm.jpg,https://frontyardaura.com/pins/brick-front-walkway-landscaping-ideas-pin-b-zlfgm.jpg,1000,1500
budget-front-yard-curb-appeal-for-renters-a,budget-front-yard-curb-appeal-for-renters,Budget Front Yard Curb Appeal for Renters,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1664988851452-db5b571070cd,photo 1664988851452 db5b571070cd,unsplash-expanded-search,https://images.unsplash.com/photo-1664988851452-db5b571070cd,budget-front-yard-curb-appeal-for-renters-pin-a-1jl64.jpg,https://frontyardaura.com/pins/budget-front-yard-curb-appeal-for-renters-pin-a-1jl64.jpg,1000,1500
budget-front-yard-curb-appeal-for-renters-b,budget-front-yard-curb-appeal-for-renters,Budget Front Yard Curb Appeal for Renters,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1590664367719-4a2902eda336,photo 1590664367719 4a2902eda336,unsplash-expanded-search,https://images.unsplash.com/photo-1590664367719-4a2902eda336,budget-front-yard-curb-appeal-for-renters-pin-b-1jv5q.jpg,https://frontyardaura.com/pins/budget-front-yard-curb-appeal-for-renters-pin-b-1jv5q.jpg,1000,1500
budget-front-yard-curb-appeal-for-renters-c,budget-front-yard-curb-appeal-for-renters,Budget Front Yard Curb Appeal for Renters,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1719062747828-15ae70633b8e,photo 1719062747828 15ae70633b8e,unsplash-expanded-search,https://images.unsplash.com/photo-1719062747828-15ae70633b8e,budget-front-yard-curb-appeal-for-renters-pin-c-1k55c.jpg,https://frontyardaura.com/pins/budget-front-yard-curb-appeal-for-renters-pin-c-1k55c.jpg,1000,1500
budget-front-yard-flower-bed-makeover-a,budget-front-yard-flower-bed-makeover,Budget Front Yard Flower Bed Makeover Ideas,approved,yes,,flower-bed,Flower bed or flowers visible,83,unsplash:photo-1747297646316-9dc79a1f690b,photo 1747297646316 9dc79a1f690b,unsplash-expanded-search,https://images.unsplash.com/photo-1747297646316-9dc79a1f690b,budget-front-yard-flower-bed-makeover-pin-a-165wf.jpg,https://frontyardaura.com/pins/budget-front-yard-flower-bed-makeover-pin-a-165wf.jpg,1000,1500
budget-front-yard-flower-bed-makeover-b,budget-front-yard-flower-bed-makeover,Budget Front Yard Flower Bed Makeover Ideas,approved,yes,,flower-bed,Flower bed or flowers visible,83,unsplash:photo-1470259478948-d5605cd2fe53,photo 1470259478948 d5605cd2fe53,unsplash-expanded-search,https://images.unsplash.com/photo-1470259478948-d5605cd2fe53,budget-front-yard-flower-bed-makeover-pin-b-15bxm.jpg,https://frontyardaura.com/pins/budget-front-yard-flower-bed-makeover-pin-b-15bxm.jpg,1000,1500
budget-front-yard-flower-bed-makeover-c,budget-front-yard-flower-bed-makeover,Budget Front Yard Flower Bed Makeover Ideas,approved,yes,,flower-bed,Flower bed or flowers visible,83,unsplash:photo-1758040539218-821a46a93acd,photo 1758040539218 821a46a93acd,unsplash-expanded-search,https://images.unsplash.com/photo-1758040539218-821a46a93acd,budget-front-yard-flower-bed-makeover-pin-c-15lx8.jpg,https://frontyardaura.com/pins/budget-front-yard-flower-bed-makeover-pin-c-15lx8.jpg,1000,1500
budget-front-yard-ideas-with-cheap-border-plants-a,budget-front-yard-ideas-with-cheap-border-plants,Budget Front Yard Ideas With Cheap Border Plants,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1755914305030-bfc5c0196d76,photo 1755914305030 bfc5c0196d76,unsplash-expanded-search,https://images.unsplash.com/photo-1755914305030-bfc5c0196d76,budget-front-yard-ideas-with-cheap-border-plants-pin-a-1gh2t.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-cheap-border-plants-pin-a-1gh2t.jpg,1000,1500
budget-front-yard-ideas-with-cheap-border-plants-b,budget-front-yard-ideas-with-cheap-border-plants,Budget Front Yard Ideas With Cheap Border Plants,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1597905099287-cbc640318dc7,photo 1597905099287 cbc640318dc7,unsplash-expanded-search,https://images.unsplash.com/photo-1597905099287-cbc640318dc7,budget-front-yard-ideas-with-cheap-border-plants-pin-b-1g738.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-cheap-border-plants-pin-b-1g738.jpg,1000,1500
budget-front-yard-ideas-with-cheap-border-plants-c,budget-front-yard-ideas-with-cheap-border-plants,Budget Front Yard Ideas With Cheap Border Plants,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1583138789007-daf8be3b54b9,photo 1583138789007 daf8be3b54b9,unsplash-expanded-search,https://images.unsplash.com/photo-1583138789007-daf8be3b54b9,budget-front-yard-ideas-with-cheap-border-plants-pin-c-1fx3m.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-cheap-border-plants-pin-c-1fx3m.jpg,1000,1500
budget-front-yard-ideas-with-divided-perennials-a,budget-front-yard-ideas-with-divided-perennials,Budget Front Yard Ideas With Divided Perennials,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1634791809040-290d9ff5aec7,photo 1634791809040 290d9ff5aec7,unsplash-expanded-search,https://images.unsplash.com/photo-1634791809040-290d9ff5aec7,budget-front-yard-ideas-with-divided-perennials-pin-a-1ugmm.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-divided-perennials-pin-a-1ugmm.jpg,1000,1500
budget-front-yard-ideas-with-divided-perennials-b,budget-front-yard-ideas-with-divided-perennials,Budget Front Yard Ideas With Divided Perennials,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1570630856632-c3dcf125ab14,photo 1570630856632 c3dcf125ab14,unsplash-expanded-search,https://images.unsplash.com/photo-1570630856632-c3dcf125ab14,budget-front-yard-ideas-with-divided-perennials-pin-b-1valf.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-divided-perennials-pin-b-1valf.jpg,1000,1500
budget-front-yard-ideas-with-divided-perennials-c,budget-front-yard-ideas-with-divided-perennials,Budget Front Yard Ideas With Divided Perennials,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1727464996772-f15d0a3959fa,photo 1727464996772 f15d0a3959fa,unsplash-expanded-search,https://images.unsplash.com/photo-1727464996772-f15d0a3959fa,budget-front-yard-ideas-with-divided-perennials-pin-c-1v0lt.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-divided-perennials-pin-c-1v0lt.jpg,1000,1500
budget-front-yard-ideas-with-diy-mailbox-bed-a,budget-front-yard-ideas-with-diy-mailbox-bed,Budget Front Yard Ideas With a DIY Mailbox Bed,approved,yes,,mailbox-bed,Mailbox bed visible,83,unsplash:photo-1762568564819-e666cb9b96c6,photo 1762568564819 e666cb9b96c6,unsplash-expanded-search,https://images.unsplash.com/photo-1762568564819-e666cb9b96c6,budget-front-yard-ideas-with-diy-mailbox-bed-pin-a-1wz3c.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-diy-mailbox-bed-pin-a-1wz3c.jpg,1000,1500
budget-front-yard-ideas-with-diy-stepping-stones-a,budget-front-yard-ideas-with-diy-stepping-stones,Budget Front Yard Ideas With DIY Stepping Stones,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1682977782338-8e6db0862aab,photo 1682977782338 8e6db0862aab,unsplash-expanded-search,https://images.unsplash.com/photo-1682977782338-8e6db0862aab,budget-front-yard-ideas-with-diy-stepping-stones-pin-a-iemn5.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-diy-stepping-stones-pin-a-iemn5.jpg,1000,1500
budget-front-yard-ideas-with-diy-stepping-stones-b,budget-front-yard-ideas-with-diy-stepping-stones,Budget Front Yard Ideas With DIY Stepping Stones,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1752450589522-ce1f0b70f3e6,photo 1752450589522 ce1f0b70f3e6,unsplash-expanded-search,https://images.unsplash.com/photo-1752450589522-ce1f0b70f3e6,budget-front-yard-ideas-with-diy-stepping-stones-pin-b-iom8u.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-diy-stepping-stones-pin-b-iom8u.jpg,1000,1500
budget-front-yard-ideas-with-diy-stepping-stones-c,budget-front-yard-ideas-with-diy-stepping-stones,Budget Front Yard Ideas With DIY Stepping Stones,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1734363995606-996cec525019,photo 1734363995606 996cec525019,unsplash-expanded-search,https://images.unsplash.com/photo-1734363995606-996cec525019,budget-front-yard-ideas-with-diy-stepping-stones-pin-c-iyluj.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-diy-stepping-stones-pin-c-iyluj.jpg,1000,1500
budget-front-yard-ideas-with-mulch-and-pots-a,budget-front-yard-ideas-with-mulch-and-pots,Budget Front Yard Ideas With Mulch and Pots,approved,yes,,low-maintenance,Low-maintenance front yard materials visible,83,unsplash:photo-1780334687728-7ed884eda699,photo 1780334687728 7ed884eda699,unsplash-expanded-search,https://images.unsplash.com/photo-1780334687728-7ed884eda699,budget-front-yard-ideas-with-mulch-and-pots-pin-a-m9nca.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-mulch-and-pots-pin-a-m9nca.jpg,1000,1500
budget-front-yard-ideas-with-mulch-and-pots-b,budget-front-yard-ideas-with-mulch-and-pots,Budget Front Yard Ideas With Mulch and Pots,approved,yes,,low-maintenance,Low-maintenance front yard materials visible,83,unsplash:photo-1743972872733-180d6a4f83ba,photo 1743972872733 180d6a4f83ba,unsplash-expanded-search,https://images.unsplash.com/photo-1743972872733-180d6a4f83ba,budget-front-yard-ideas-with-mulch-and-pots-pin-b-mjmxz.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-mulch-and-pots-pin-b-mjmxz.jpg,1000,1500
budget-front-yard-ideas-with-mulch-and-pots-c,budget-front-yard-ideas-with-mulch-and-pots,Budget Front Yard Ideas With Mulch and Pots,approved,yes,,low-maintenance,Low-maintenance front yard materials visible,83,unsplash:photo-1778159279535-144d7f460c40,photo 1778159279535 144d7f460c40,unsplash-expanded-search,https://images.unsplash.com/photo-1778159279535-144d7f460c40,budget-front-yard-ideas-with-mulch-and-pots-pin-c-mtmjo.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-mulch-and-pots-pin-c-mtmjo.jpg,1000,1500
budget-front-yard-ideas-with-one-focal-planter-a,budget-front-yard-ideas-with-one-focal-planter,Budget Front Yard Ideas With One Focal Planter,approved,yes,,planters,Planters or containers visible,83,unsplash:photo-1711098256657-f40961037781,photo 1711098256657 f40961037781,unsplash-expanded-search,https://images.unsplash.com/photo-1711098256657-f40961037781,budget-front-yard-ideas-with-one-focal-planter-pin-a-1ix9i.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-one-focal-planter-pin-a-1ix9i.jpg,1000,1500
budget-front-yard-ideas-with-one-focal-planter-b,budget-front-yard-ideas-with-one-focal-planter,Budget Front Yard Ideas With One Focal Planter,approved,yes,,planters,Planters or containers visible,83,unsplash:photo-1635188802387-2139d30c1024,photo 1635188802387 2139d30c1024,unsplash-expanded-search,https://images.unsplash.com/photo-1635188802387-2139d30c1024,budget-front-yard-ideas-with-one-focal-planter-pin-b-1jr8b.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-one-focal-planter-pin-b-1jr8b.jpg,1000,1500
budget-front-yard-ideas-with-one-focal-planter-c,budget-front-yard-ideas-with-one-focal-planter,Budget Front Yard Ideas With One Focal Planter,approved,yes,,planters,Planters or containers visible,83,unsplash:photo-1708600940572-2529d68b02e2,photo 1708600940572 2529d68b02e2,unsplash-expanded-search,https://images.unsplash.com/photo-1708600940572-2529d68b02e2,budget-front-yard-ideas-with-one-focal-planter-pin-c-1jh8p.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-one-focal-planter-pin-c-1jh8p.jpg,1000,1500
budget-front-yard-ideas-with-one-weekend-makeover-a,budget-front-yard-ideas-with-one-weekend-makeover,Budget Front Yard Ideas With a One-Weekend Makeover,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1627956853131-cfa751fddc9c,photo 1627956853131 cfa751fddc9c,unsplash-expanded-search,https://images.unsplash.com/photo-1627956853131-cfa751fddc9c,budget-front-yard-ideas-with-one-weekend-makeover-pin-a-1ix0f.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-one-weekend-makeover-pin-a-1ix0f.jpg,1000,1500
budget-front-yard-ideas-with-one-weekend-makeover-b,budget-front-yard-ideas-with-one-weekend-makeover,Budget Front Yard Ideas With a One-Weekend Makeover,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1756747100290-f9450b16a13a,photo 1756747100290 f9450b16a13a,unsplash-expanded-search,https://images.unsplash.com/photo-1756747100290-f9450b16a13a,budget-front-yard-ideas-with-one-weekend-makeover-pin-b-1jqz8.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-one-weekend-makeover-pin-b-1jqz8.jpg,1000,1500
budget-front-yard-ideas-with-one-weekend-makeover-c,budget-front-yard-ideas-with-one-weekend-makeover,Budget Front Yard Ideas With a One-Weekend Makeover,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1700727839294-dd3ebf934030,photo 1700727839294 dd3ebf934030,unsplash-expanded-search,https://images.unsplash.com/photo-1700727839294-dd3ebf934030,budget-front-yard-ideas-with-one-weekend-makeover-pin-c-1jgzm.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-one-weekend-makeover-pin-c-1jgzm.jpg,1000,1500
budget-front-yard-ideas-with-painted-planters-a,budget-front-yard-ideas-with-painted-planters,Budget Front Yard Ideas With Painted Planters,approved,yes,,planters,Planters or containers visible,83,unsplash:photo-1596686661757-91a58101e6bf,photo 1596686661757 91a58101e6bf,unsplash-expanded-search,https://images.unsplash.com/photo-1596686661757-91a58101e6bf,budget-front-yard-ideas-with-painted-planters-pin-a-cg9jo.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-painted-planters-pin-a-cg9jo.jpg,1000,1500
budget-front-yard-ideas-with-painted-planters-b,budget-front-yard-ideas-with-painted-planters,Budget Front Yard Ideas With Painted Planters,approved,yes,,planters,Planters or containers visible,83,unsplash:photo-1715813385825-b82a03472650,photo 1715813385825 b82a03472650,unsplash-expanded-search,https://images.unsplash.com/photo-1715813385825-b82a03472650,budget-front-yard-ideas-with-painted-planters-pin-b-da8cr.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-painted-planters-pin-b-da8cr.jpg,1000,1500
budget-front-yard-ideas-with-painted-planters-c,budget-front-yard-ideas-with-painted-planters,Budget Front Yard Ideas With Painted Planters,approved,yes,,planters,Planters or containers visible,83,unsplash:photo-1560168599-3c4d65887af5,photo 1560168599 3c4d65887af5,unsplash-expanded-search,https://images.unsplash.com/photo-1560168599-3c4d65887af5,budget-front-yard-ideas-with-painted-planters-pin-c-d08r2.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-painted-planters-pin-c-d08r2.jpg,1000,1500
budget-front-yard-ideas-with-reseeded-lawn-edges-a,budget-front-yard-ideas-with-reseeded-lawn-edges,Budget Front Yard Ideas With Reseeded Lawn Edges,approved,yes,,lawn,"Lawn, grass, or lawn stripes visible",83,unsplash:photo-1780287857760-f63ed1d090e7,photo 1780287857760 f63ed1d090e7,unsplash-expanded-search,https://images.unsplash.com/photo-1780287857760-f63ed1d090e7,budget-front-yard-ideas-with-reseeded-lawn-edges-pin-a-1ez8c.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-reseeded-lawn-edges-pin-a-1ez8c.jpg,1000,1500
budget-front-yard-ideas-with-reseeded-lawn-edges-b,budget-front-yard-ideas-with-reseeded-lawn-edges,Budget Front Yard Ideas With Reseeded Lawn Edges,approved,yes,,lawn,"Lawn, grass, or lawn stripes visible",83,unsplash:photo-1733059964017-fca65c99ce2f,photo 1733059964017 fca65c99ce2f,unsplash-expanded-search,https://images.unsplash.com/photo-1733059964017-fca65c99ce2f,budget-front-yard-ideas-with-reseeded-lawn-edges-pin-b-1ep8q.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-reseeded-lawn-edges-pin-b-1ep8q.jpg,1000,1500
budget-front-yard-ideas-with-reseeded-lawn-edges-c,budget-front-yard-ideas-with-reseeded-lawn-edges,Budget Front Yard Ideas With Reseeded Lawn Edges,approved,yes,,lawn,"Lawn, grass, or lawn stripes visible",83,unsplash:photo-1758656911242-eb3553a40f10,photo 1758656911242 eb3553a40f10,unsplash-expanded-search,https://images.unsplash.com/photo-1758656911242-eb3553a40f10,budget-front-yard-ideas-with-reseeded-lawn-edges-pin-c-1ef95.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-reseeded-lawn-edges-pin-c-1ef95.jpg,1000,1500
budget-front-yard-ideas-with-reused-brick-a,budget-front-yard-ideas-with-reused-brick,Budget Front Yard Ideas With Reused Brick,approved,yes,,front-yard-exterior,Front yard and exterior visible,83,unsplash:photo-1698282263892-27636f514c5a,photo 1698282263892 27636f514c5a,unsplash-expanded-search,https://images.unsplash.com/photo-1698282263892-27636f514c5a,budget-front-yard-ideas-with-reused-brick-pin-a-1l346.jpg,https://frontyardaura.com/pins/budget-front-yard-ideas-with-reused-brick-pin-a-1l346.jpg,1000,1500
