article_title,article_slug,pin_variant,pin_id,source_signature,category,required_image_element,rejection_reason,recommended_image_prompt,priority
Brick Front Walkway Landscaping Ideas,brick-front-walkway-landscaping-ideas,B,brick-front-walkway-landscaping-ideas-b,manual-required:brick-front-walkway-landscaping-ideas-b,Walkway Landscaping Ideas,a clearly visible brick walkway or brick path leading through the front yard,needs_more_approved_sources; duplicate_source_used_by:small-front-yard-ideas-with-sidewalk-to-door-flow; duplicate_source_used_by:front-yard-flower-bed-ideas-for-brick-walkways; duplicate_source_used_by:narrow-front-yard-landscaping-ideas; weak_front_yard_context; missing_required_title_element; duplicate_source_used_by:front-yard-minimalist-landscaping-ideas; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; duplicate_source_used_by:front-yard-landscaping-for-red-brick-homes; vehicle_or_distraction_pattern; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Brick Front Walkway Landscaping Ideas"". The image must match the article title exactly and show a clearly visible brick walkway or brick path leading through the front yard. Scene: close landscaping detail focused on the required element while keeping the USA home exterior context visible. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for brick-front-walkway-landscaping-ideas-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",1
Brick Front Walkway Landscaping Ideas,brick-front-walkway-landscaping-ideas,C,brick-front-walkway-landscaping-ideas-c,manual-required:brick-front-walkway-landscaping-ideas-c,Walkway Landscaping Ideas,a clearly visible brick walkway or brick path leading through the front yard,needs_more_approved_sources; duplicate_source_used_by:small-front-yard-ideas-with-sidewalk-to-door-flow; duplicate_source_used_by:front-yard-flower-bed-ideas-for-brick-walkways; duplicate_source_used_by:narrow-front-yard-landscaping-ideas; weak_front_yard_context; missing_required_title_element; duplicate_source_used_by:front-yard-minimalist-landscaping-ideas; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; duplicate_source_used_by:front-yard-landscaping-for-red-brick-homes; vehicle_or_distraction_pattern; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Brick Front Walkway Landscaping Ideas"". The image must match the article title exactly and show a clearly visible brick walkway or brick path leading through the front yard. Scene: three-quarter entry angle from the walkway or driveway with a different composition and strong depth. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for brick-front-walkway-landscaping-ideas-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",2
Budget Front Yard Curb Appeal for Renters,budget-front-yard-curb-appeal-for-renters,A,budget-front-yard-curb-appeal-for-renters-a,manual-required:budget-front-yard-curb-appeal-for-renters-a,Front Yard Landscaping On A Budget,a clearly visible front yard landscape and USA home exterior matching the article title,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; people_pattern; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-small-ranch-houses; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; duplicate_source_used_by:front-yard-annual-flower-ideas; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Budget Front Yard Curb Appeal for Renters"". The image must match the article title exactly and show a clearly visible front yard landscape and USA home exterior matching the article title. Scene: wide establishing hero view from the street showing the full front yard and home exterior. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for budget-front-yard-curb-appeal-for-renters-a only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",3
Budget Front Yard Curb Appeal for Renters,budget-front-yard-curb-appeal-for-renters,B,budget-front-yard-curb-appeal-for-renters-b,manual-required:budget-front-yard-curb-appeal-for-renters-b,Front Yard Landscaping On A Budget,a clearly visible front yard landscape and USA home exterior matching the article title,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; people_pattern; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-small-ranch-houses; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; duplicate_source_used_by:front-yard-annual-flower-ideas; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Budget Front Yard Curb Appeal for Renters"". The image must match the article title exactly and show a clearly visible front yard landscape and USA home exterior matching the article title. Scene: close landscaping detail focused on the required element while keeping the USA home exterior context visible. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for budget-front-yard-curb-appeal-for-renters-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",4
Budget Front Yard Curb Appeal for Renters,budget-front-yard-curb-appeal-for-renters,C,budget-front-yard-curb-appeal-for-renters-c,manual-required:budget-front-yard-curb-appeal-for-renters-c,Front Yard Landscaping On A Budget,a clearly visible front yard landscape and USA home exterior matching the article title,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; people_pattern; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:curb-appeal-landscaping-for-small-ranch-houses; duplicate_source_used_by:curb-appeal-landscaping-for-blue-houses; duplicate_source_used_by:front-yard-annual-flower-ideas; weak_front_yard_context; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Budget Front Yard Curb Appeal for Renters"". The image must match the article title exactly and show a clearly visible front yard landscape and USA home exterior matching the article title. Scene: three-quarter entry angle from the walkway or driveway with a different composition and strong depth. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for budget-front-yard-curb-appeal-for-renters-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",5
Budget Front Yard Flower Bed Makeover Ideas,budget-front-yard-flower-bed-makeover,A,budget-front-yard-flower-bed-makeover-a,manual-required:budget-front-yard-flower-bed-makeover-a,Front Yard Landscaping On A Budget,clearly visible front yard flower beds with real flowers,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-with-clean-foundation-beds; people_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:front-yard-annual-flower-ideas; duplicate_source_used_by:curb-appeal-landscaping-for-small-ranch-houses; duplicate_source_used_by:front-yard-boxwood-and-flower-bed-ideas; weak_front_yard_context; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Budget Front Yard Flower Bed Makeover Ideas"". The image must match the article title exactly and show clearly visible front yard flower beds with real flowers. Scene: wide establishing hero view from the street showing the full front yard and home exterior. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for budget-front-yard-flower-bed-makeover-a only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",6
Budget Front Yard Flower Bed Makeover Ideas,budget-front-yard-flower-bed-makeover,B,budget-front-yard-flower-bed-makeover-b,manual-required:budget-front-yard-flower-bed-makeover-b,Front Yard Landscaping On A Budget,clearly visible front yard flower beds with real flowers,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-with-clean-foundation-beds; people_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:front-yard-annual-flower-ideas; duplicate_source_used_by:curb-appeal-landscaping-for-small-ranch-houses; duplicate_source_used_by:front-yard-boxwood-and-flower-bed-ideas; weak_front_yard_context; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Budget Front Yard Flower Bed Makeover Ideas"". The image must match the article title exactly and show clearly visible front yard flower beds with real flowers. Scene: close landscaping detail focused on the required element while keeping the USA home exterior context visible. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for budget-front-yard-flower-bed-makeover-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",7
Budget Front Yard Flower Bed Makeover Ideas,budget-front-yard-flower-bed-makeover,C,budget-front-yard-flower-bed-makeover-c,manual-required:budget-front-yard-flower-bed-makeover-c,Front Yard Landscaping On A Budget,clearly visible front yard flower beds with real flowers,no_approved_image_source; duplicate_source_used_by:curb-appeal-landscaping-with-clean-foundation-beds; people_pattern; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; duplicate_source_used_by:front-yard-annual-flower-ideas; duplicate_source_used_by:curb-appeal-landscaping-for-small-ranch-houses; duplicate_source_used_by:front-yard-boxwood-and-flower-bed-ideas; weak_front_yard_context; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; quality_score_below_threshold,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Budget Front Yard Flower Bed Makeover Ideas"". The image must match the article title exactly and show clearly visible front yard flower beds with real flowers. Scene: three-quarter entry angle from the walkway or driveway with a different composition and strong depth. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for budget-front-yard-flower-bed-makeover-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",8
Budget Front Yard Gravel Path Ideas,budget-front-yard-gravel-path-ideas,A,budget-front-yard-gravel-path-ideas-a,manual-required:budget-front-yard-gravel-path-ideas-a,Front Yard Landscaping On A Budget,a clearly visible gravel path through the front yard,no_approved_image_source; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; quality_score_below_threshold; weak_front_yard_context,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Budget Front Yard Gravel Path Ideas"". The image must match the article title exactly and show a clearly visible gravel path through the front yard. Scene: wide establishing hero view from the street showing the full front yard and home exterior. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for budget-front-yard-gravel-path-ideas-a only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",9
Budget Front Yard Gravel Path Ideas,budget-front-yard-gravel-path-ideas,B,budget-front-yard-gravel-path-ideas-b,manual-required:budget-front-yard-gravel-path-ideas-b,Front Yard Landscaping On A Budget,a clearly visible gravel path through the front yard,no_approved_image_source; missing_required_title_element; duplicate_source_used_by:curb-appeal-landscaping-for-craftsman-bungalows; duplicate_source_used_by:curb-appeal-landscaping-for-farmhouse-exteriors; quality_score_below_threshold; weak_front_yard_context,"Create a realistic Pinterest vertical 1000x1500 photo for the article title ""Budget Front Yard Gravel Path Ideas"". The image must match the article title exactly and show a clearly visible gravel path through the front yard. Scene: close landscaping detail focused on the required element while keeping the USA home exterior context visible. Use realistic front yard landscaping around a USA home exterior, natural daylight, believable suburban scale, real plants, real stone or mulch textures, and polished Pinterest-worthy curb appeal. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. No people, no vehicles, no interior, no text, no logo, no watermark, no stock-photo preview marks, no fantasy or CGI look. This must be a unique source image for budget-front-yard-gravel-path-ideas-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",10
