image_id,article_slug,pin_variant,pin_id,source_signature,article_title,exact_prompt,priority
manual-b01-001-brick-front-walkway-landscaping-ideas-b,brick-front-walkway-landscaping-ideas,B,brick-front-walkway-landscaping-ideas-b,manual-batch-01:manual-b01-001-brick-front-walkway-landscaping-ideas-b,Brick Front Walkway Landscaping Ideas,"Create one realistic professional photography image for the exact article title: ""Brick Front Walkway Landscaping Ideas"". Exact title match requirement: the image must visually communicate ""Brick Front Walkway Landscaping Ideas"" immediately, not a generic front yard. The brick walkway must be the dominant foreground subject, with individual red or weathered bricks clearly visible and leading toward the front door. Required visual element: a clearly visible brick walkway or brick path leading through the front yard. Scene must show a USA suburban home exterior with realistic front yard landscaping, natural daylight, believable scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Close professional landscaping detail, focused tightly on the title-specific element, with enough USA suburban home exterior context softly visible behind it. Pinterest vertical composition, 1000x1500, portrait 2:3, crisp editorial architectural photography, bright but natural color, high quality, ready for later overlay space without adding any overlay now. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. Negative requirements: no people, no vehicles, no cars, no trucks, no interior, no text, no logo, no watermark, no stock-photo preview marks, no signage, no fantasy style, no CGI, no illustration. This must be a unique source image for brick-front-walkway-landscaping-ideas-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",1
manual-b01-002-brick-front-walkway-landscaping-ideas-c,brick-front-walkway-landscaping-ideas,C,brick-front-walkway-landscaping-ideas-c,manual-batch-01:manual-b01-002-brick-front-walkway-landscaping-ideas-c,Brick Front Walkway Landscaping Ideas,"Create one realistic professional photography image for the exact article title: ""Brick Front Walkway Landscaping Ideas"". Exact title match requirement: the image must visually communicate ""Brick Front Walkway Landscaping Ideas"" immediately, not a generic front yard. The brick walkway must be the dominant foreground subject, with individual red or weathered bricks clearly visible and leading toward the front door. Required visual element: a clearly visible brick walkway or brick path leading through the front yard. Scene must show a USA suburban home exterior with realistic front yard landscaping, natural daylight, believable scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Three-quarter entry composition from the walkway or driveway edge, with strong depth, a different angle from the hero view, and the title-specific element clearly leading the eye. Pinterest vertical composition, 1000x1500, portrait 2:3, crisp editorial architectural photography, bright but natural color, high quality, ready for later overlay space without adding any overlay now. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. Negative requirements: no people, no vehicles, no cars, no trucks, no interior, no text, no logo, no watermark, no stock-photo preview marks, no signage, no fantasy style, no CGI, no illustration. This must be a unique source image for brick-front-walkway-landscaping-ideas-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",1
manual-b01-003-budget-front-yard-curb-appeal-for-renters-a,budget-front-yard-curb-appeal-for-renters,A,budget-front-yard-curb-appeal-for-renters-a,manual-batch-01:manual-b01-003-budget-front-yard-curb-appeal-for-renters-a,Budget Front Yard Curb Appeal for Renters,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Curb Appeal for Renters"". Exact title match requirement: the image must visually communicate ""Budget Front Yard Curb Appeal for Renters"" immediately, not a generic front yard. The scene must look renter-friendly and temporary, using removable planters, mulch refresh, tidy borders, and simple affordable curb appeal. Required visual element: a clearly visible front yard landscape and USA home exterior matching the article title. Scene must show a USA suburban home exterior with realistic front yard landscaping, natural daylight, believable scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Wide Pinterest hero composition from curb height, showing the full USA suburban home exterior and front yard layout while keeping the title-specific element obvious in the foreground or center. Pinterest vertical composition, 1000x1500, portrait 2:3, crisp editorial architectural photography, bright but natural color, high quality, ready for later overlay space without adding any overlay now. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. Negative requirements: no people, no vehicles, no cars, no trucks, no interior, no text, no logo, no watermark, no stock-photo preview marks, no signage, no fantasy style, no CGI, no illustration. This must be a unique source image for budget-front-yard-curb-appeal-for-renters-a only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",2
manual-b01-004-budget-front-yard-curb-appeal-for-renters-b,budget-front-yard-curb-appeal-for-renters,B,budget-front-yard-curb-appeal-for-renters-b,manual-batch-01:manual-b01-004-budget-front-yard-curb-appeal-for-renters-b,Budget Front Yard Curb Appeal for Renters,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Curb Appeal for Renters"". Exact title match requirement: the image must visually communicate ""Budget Front Yard Curb Appeal for Renters"" immediately, not a generic front yard. The scene must look renter-friendly and temporary, using removable planters, mulch refresh, tidy borders, and simple affordable curb appeal. Required visual element: a clearly visible front yard landscape and USA home exterior matching the article title. Scene must show a USA suburban home exterior with realistic front yard landscaping, natural daylight, believable scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Close professional landscaping detail, focused tightly on the title-specific element, with enough USA suburban home exterior context softly visible behind it. Pinterest vertical composition, 1000x1500, portrait 2:3, crisp editorial architectural photography, bright but natural color, high quality, ready for later overlay space without adding any overlay now. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. Negative requirements: no people, no vehicles, no cars, no trucks, no interior, no text, no logo, no watermark, no stock-photo preview marks, no signage, no fantasy style, no CGI, no illustration. This must be a unique source image for budget-front-yard-curb-appeal-for-renters-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",2
manual-b01-005-budget-front-yard-curb-appeal-for-renters-c,budget-front-yard-curb-appeal-for-renters,C,budget-front-yard-curb-appeal-for-renters-c,manual-batch-01:manual-b01-005-budget-front-yard-curb-appeal-for-renters-c,Budget Front Yard Curb Appeal for Renters,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Curb Appeal for Renters"". Exact title match requirement: the image must visually communicate ""Budget Front Yard Curb Appeal for Renters"" immediately, not a generic front yard. The scene must look renter-friendly and temporary, using removable planters, mulch refresh, tidy borders, and simple affordable curb appeal. Required visual element: a clearly visible front yard landscape and USA home exterior matching the article title. Scene must show a USA suburban home exterior with realistic front yard landscaping, natural daylight, believable scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Three-quarter entry composition from the walkway or driveway edge, with strong depth, a different angle from the hero view, and the title-specific element clearly leading the eye. Pinterest vertical composition, 1000x1500, portrait 2:3, crisp editorial architectural photography, bright but natural color, high quality, ready for later overlay space without adding any overlay now. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. Negative requirements: no people, no vehicles, no cars, no trucks, no interior, no text, no logo, no watermark, no stock-photo preview marks, no signage, no fantasy style, no CGI, no illustration. This must be a unique source image for budget-front-yard-curb-appeal-for-renters-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",2
manual-b01-006-budget-front-yard-flower-bed-makeover-a,budget-front-yard-flower-bed-makeover,A,budget-front-yard-flower-bed-makeover-a,manual-batch-01:manual-b01-006-budget-front-yard-flower-bed-makeover-a,Budget Front Yard Flower Bed Makeover Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Flower Bed Makeover Ideas"". Exact title match requirement: the image must visually communicate ""Budget Front Yard Flower Bed Makeover Ideas"" immediately, not a generic front yard. The flower bed must be the main subject, full of real front yard flowers with clear planting edges beside the home exterior. Required visual element: clearly visible front yard flower beds with real flowers. Scene must show a USA suburban home exterior with realistic front yard landscaping, natural daylight, believable scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Wide Pinterest hero composition from curb height, showing the full USA suburban home exterior and front yard layout while keeping the title-specific element obvious in the foreground or center. Pinterest vertical composition, 1000x1500, portrait 2:3, crisp editorial architectural photography, bright but natural color, high quality, ready for later overlay space without adding any overlay now. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. Negative requirements: no people, no vehicles, no cars, no trucks, no interior, no text, no logo, no watermark, no stock-photo preview marks, no signage, no fantasy style, no CGI, no illustration. This must be a unique source image for budget-front-yard-flower-bed-makeover-a only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",3
manual-b01-007-budget-front-yard-flower-bed-makeover-b,budget-front-yard-flower-bed-makeover,B,budget-front-yard-flower-bed-makeover-b,manual-batch-01:manual-b01-007-budget-front-yard-flower-bed-makeover-b,Budget Front Yard Flower Bed Makeover Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Flower Bed Makeover Ideas"". Exact title match requirement: the image must visually communicate ""Budget Front Yard Flower Bed Makeover Ideas"" immediately, not a generic front yard. The flower bed must be the main subject, full of real front yard flowers with clear planting edges beside the home exterior. Required visual element: clearly visible front yard flower beds with real flowers. Scene must show a USA suburban home exterior with realistic front yard landscaping, natural daylight, believable scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Close professional landscaping detail, focused tightly on the title-specific element, with enough USA suburban home exterior context softly visible behind it. Pinterest vertical composition, 1000x1500, portrait 2:3, crisp editorial architectural photography, bright but natural color, high quality, ready for later overlay space without adding any overlay now. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. Negative requirements: no people, no vehicles, no cars, no trucks, no interior, no text, no logo, no watermark, no stock-photo preview marks, no signage, no fantasy style, no CGI, no illustration. This must be a unique source image for budget-front-yard-flower-bed-makeover-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",3
manual-b01-008-budget-front-yard-flower-bed-makeover-c,budget-front-yard-flower-bed-makeover,C,budget-front-yard-flower-bed-makeover-c,manual-batch-01:manual-b01-008-budget-front-yard-flower-bed-makeover-c,Budget Front Yard Flower Bed Makeover Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Flower Bed Makeover Ideas"". Exact title match requirement: the image must visually communicate ""Budget Front Yard Flower Bed Makeover Ideas"" immediately, not a generic front yard. The flower bed must be the main subject, full of real front yard flowers with clear planting edges beside the home exterior. Required visual element: clearly visible front yard flower beds with real flowers. Scene must show a USA suburban home exterior with realistic front yard landscaping, natural daylight, believable scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Three-quarter entry composition from the walkway or driveway edge, with strong depth, a different angle from the hero view, and the title-specific element clearly leading the eye. Pinterest vertical composition, 1000x1500, portrait 2:3, crisp editorial architectural photography, bright but natural color, high quality, ready for later overlay space without adding any overlay now. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. Negative requirements: no people, no vehicles, no cars, no trucks, no interior, no text, no logo, no watermark, no stock-photo preview marks, no signage, no fantasy style, no CGI, no illustration. This must be a unique source image for budget-front-yard-flower-bed-makeover-c only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",3
manual-b01-009-budget-front-yard-gravel-path-ideas-a,budget-front-yard-gravel-path-ideas,A,budget-front-yard-gravel-path-ideas-a,manual-batch-01:manual-b01-009-budget-front-yard-gravel-path-ideas-a,Budget Front Yard Gravel Path Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Gravel Path Ideas"". Exact title match requirement: the image must visually communicate ""Budget Front Yard Gravel Path Ideas"" immediately, not a generic front yard. The gravel path must be the main subject, with visible gravel texture forming a clear path through the front yard toward the entry. Required visual element: a clearly visible gravel path through the front yard. Scene must show a USA suburban home exterior with realistic front yard landscaping, natural daylight, believable scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Wide Pinterest hero composition from curb height, showing the full USA suburban home exterior and front yard layout while keeping the title-specific element obvious in the foreground or center. Pinterest vertical composition, 1000x1500, portrait 2:3, crisp editorial architectural photography, bright but natural color, high quality, ready for later overlay space without adding any overlay now. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. Negative requirements: no people, no vehicles, no cars, no trucks, no interior, no text, no logo, no watermark, no stock-photo preview marks, no signage, no fantasy style, no CGI, no illustration. This must be a unique source image for budget-front-yard-gravel-path-ideas-a only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",4
manual-b01-010-budget-front-yard-gravel-path-ideas-b,budget-front-yard-gravel-path-ideas,B,budget-front-yard-gravel-path-ideas-b,manual-batch-01:manual-b01-010-budget-front-yard-gravel-path-ideas-b,Budget Front Yard Gravel Path Ideas,"Create one realistic professional photography image for the exact article title: ""Budget Front Yard Gravel Path Ideas"". Exact title match requirement: the image must visually communicate ""Budget Front Yard Gravel Path Ideas"" immediately, not a generic front yard. The gravel path must be the main subject, with visible gravel texture forming a clear path through the front yard toward the entry. Required visual element: a clearly visible gravel path through the front yard. Scene must show a USA suburban home exterior with realistic front yard landscaping, natural daylight, believable scale, real plants, real soil, real mulch, real stone or brick texture, and polished curb appeal. Close professional landscaping detail, focused tightly on the title-specific element, with enough USA suburban home exterior context softly visible behind it. Pinterest vertical composition, 1000x1500, portrait 2:3, crisp editorial architectural photography, bright but natural color, high quality, ready for later overlay space without adding any overlay now. Composition requirement: front yard landscaping must occupy at least 40% of the visible scene and must be the primary subject, with architecture secondary. The image must clearly show a visible front yard, a visible house exterior, and at least one strong landscaping element: lawn, flower beds, shrubs, mulch, rocks, or walkway. Prioritize landscaping over architecture; reject any composition where architecture dominates the frame, walls or windows are close-up subjects, rocks are shown without a front yard, trees are shown without landscaping, porch only is shown, or a house facade appears without clear landscaping. Negative requirements: no people, no vehicles, no cars, no trucks, no interior, no text, no logo, no watermark, no stock-photo preview marks, no signage, no fantasy style, no CGI, no illustration. This must be a unique source image for budget-front-yard-gravel-path-ideas-b only; do not reuse an existing source image or a source image assigned to any other Pin. No Unsplash+ or premium stock source may be used.",4
